
Identifiant du sinistre,Entreprise,Date du sinistre,Montant du sinistre,Type de sinistre,Secteur d’activité de l’entreprise,Taux de couverture,Franchise appliquée,État de la réclamation,Historique des sinistres passés,Durée de traitement,Coût estimé du sinistre à la fin de la période de règlement,Risque associé au sinistre
S01193,MANUFACTURE DE PANNEAUX BOIS DU SUD – MPBS,2021-08-19,26068.14,Responsabilité civile,industrie,0.63,974.81,en cours,3,86,28047.27,élevé
S01194,Société de Placement et de Développement Industriel et Touristique,2019-01-21,220773.55,Catastrophe naturelle,finance,0.87,4112.11,réglé,4,53,233760.6,moyen
S01195,"Société Tunisienne d'Assurances et de Réassurances    ""STAR""",2023-02-28,1253374.3,Incendie,finance,0.83,20632.05,en cours,1,169,1381527.06,élevé
S01196,AIR LIQUIDE TUNISIE,2018-03-28,50876.81,Autre,industrie,0.66,1981.95,réglé,6,57,57958.13,élevé
S01197,HANNIBAL LEASE SA,2022-07-16,127205.26,Dégâts des eaux,finance,0.86,3030.98,en cours,0,146,143216.96,moyen
S01198,ESSOUKNA,2021-08-05,1943017.52,Interruption d'activité,construction,0.69,68635.9,réglé,4,63,2074050.76,élevé
S01199,L’Accumulateur Tunisien ASSAD,2020-12-30,95780.84,Responsabilité civile,industrie,0.66,3837.7,réglé,0,82,96861.54,élevé
S01200,UNION BANCAIRE POUR LE COMMERCE ET L’INDUSTRIE -UBCI-,2020-12-12,981613.89,Incendie,finance,0.82,18467.51,réglé,2,55,1045571.81,moyen
S01201,ESSOUKNA,2024-07-10,87435.77,Autre,construction,0.66,3127.12,réglé,1,78,97322.57,élevé
S01202,HANNIBAL LEASE SA,2022-08-20,14586.3,Vol,finance,0.82,282.57,réglé,0,80,14775.02,faible
S01203,CITY CARS,2019-12-22,69082.84,Dommage matériel,transport,0.63,3144.12,réglé,2,71,70733.1,élevé
S01204,Automobiles Réseau Tunisien et Services ARTES,2023-09-18,292550.17,Dommage matériel,commerce,0.77,8093.05,réglé,1,53,293417.69,moyen
S01205,L’Accumulateur Tunisien ASSAD,2022-10-22,2496188.22,Incendie,industrie,0.65,109209.29,réglé,3,79,2643015.62,élevé
S01206,ALKIMIA,2024-12-15,57050.77,Dommage matériel,energie,0.65,1846.3,réglé,6,77,64483.43,élevé
S01207,SOCIETE TUNISIENNE DE VERRERIES -SOTUVER,2022-10-09,1201535.75,Incendie,industrie,0.6,55361.78,réglé,2,68,1300805.94,élevé
S01208,LES CIMENTS DE BIZERTE,2024-08-27,137544.69,Catastrophe naturelle,industrie,0.62,5948.22,en cours,5,129,154108.73,élevé
S01209,PLACEMENTS DE TUNISIE SICAF,2022-05-31,1241164.2,Incendie,finance,0.86,28520.54,réglé,0,54,1324620.31,élevé
S01210,Euro Cycles,2024-03-29,8225355.66,Interruption d'activité,industrie,0.69,362200.67,réglé,4,58,8782974.31,élevé
S01211,MANUFACTURE DE PANNEAUX BOIS DU SUD – MPBS,2019-07-17,2331500.47,Interruption d'activité,industrie,0.61,89128.53,réglé,0,70,2579124.73,élevé
S01212,Société Tunisienne d’Entreprises de Télécommunications « SOTETEL »,2024-08-08,119405.73,Dommage matériel,technologie,0.72,4178.92,réglé,3,65,122431.2,moyen
S01213,الجملة لأسواق التونسيـــّـــــة,2023-11-05,6529155.39,Incendie,commerce,0.71,227909.97,réglé,3,76,7185598.3,élevé
S01214,BH ASSURANCE,2018-04-13,27333.27,Autre,finance,0.82,448.37,en cours,2,106,30452.59,faible
S01215,TUNISIE LEASING & FACTORING,2018-10-20,150485.46,Dommage matériel,finance,0.81,3086.5,réglé,0,67,167221.0,moyen
S01216,Tunisie Profilés Aluminium -TPR-,2022-09-12,272739.39,Dommage matériel,industrie,0.6,9949.43,en cours,6,147,294228.95,élevé
S01217,ASSURANCES MAGHREBIA VIE S.A,2020-03-23,37219.42,Dégâts des eaux,finance,0.82,791.63,rejeté,2,26,0.0,faible
S01218,ALKIMIA,2020-06-15,38387.13,Autre,energie,0.69,1635.82,réglé,1,44,41917.96,élevé
S01219,Amen Bank,2019-04-30,138415.51,Dommage matériel,finance,0.86,2496.31,réglé,1,69,148231.69,moyen
S01220,Carthage Cement,2023-02-07,3080757.15,Interruption d'activité,industrie,0.65,102835.1,en cours,4,98,3246759.29,élevé
S01221,BH LEASING,2024-12-23,64865.53,Dégâts des eaux,finance,0.86,1430.28,réglé,0,60,66538.45,moyen
S01222,BH LEASING,2023-05-21,101827.63,Autre,finance,0.87,2228.75,en cours,2,126,115508.33,moyen
S01223,OFFICE PLAST S.A,2019-05-17,119925.28,Dommage matériel,industrie,0.67,4142.55,rejeté,3,32,0.0,élevé
S01224,ENNAKL AUTOMOBILES,2019-01-20,71875.35,Dégâts des eaux,transport,0.61,2701.67,en cours,1,94,72238.64,élevé
S01225,L’Accumulateur Tunisien ASSAD,2020-10-26,1426487.89,Incendie,industrie,0.68,52399.14,réglé,3,47,1521845.9,élevé
S01226,الجملة لأسواق التونسيـــّـــــة,2022-09-16,81610.62,Dommage matériel,commerce,0.75,2422.26,réglé,4,33,84266.41,moyen
S01227,ASSURANCES MAGHREBIA VIE S.A,2022-01-12,562524.01,Incendie,finance,0.84,12100.34,réglé,2,63,610786.48,moyen
S01228,Automobiles Réseau Tunisien et Services ARTES,2019-05-27,21358.91,Vol,commerce,0.74,541.91,en cours,2,127,24077.59,moyen
S01229,ESSOUKNA,2019-11-27,143102.71,Responsabilité civile,construction,0.69,5949.12,réglé,5,45,150486.44,élevé
S01230,Société Tunisienne d’Entreprises de Télécommunications « SOTETEL »,2024-01-08,147784.71,Responsabilité civile,technologie,0.78,4667.53,en cours,3,153,158788.62,moyen
S01231,BANQUE NATIONALE AGRICOLE –BNA BANK-,2024-12-09,115028.53,Responsabilité civile,finance,0.8,2032.52,réglé,0,65,131744.13,moyen
S01232,Amen Bank,2021-03-11,161414.34,Catastrophe naturelle,finance,0.87,3750.98,réglé,3,46,170943.74,moyen
S01233,ENNAKL AUTOMOBILES,2023-05-18,108113.44,Dommage matériel,transport,0.66,4958.31,réglé,1,53,108773.95,élevé
S01234,COMPAGNIE INTERNATIONALE DE LEASING - CIL-,2018-10-18,960452.32,Responsabilité civile,finance,0.9,16662.04,réglé,2,44,1044061.03,moyen
S01235,CELLCOM,2018-03-16,222260.8,Responsabilité civile,technologie,0.77,5928.28,réglé,4,61,245006.52,moyen
S01236,OFFICE PLAST S.A,2019-10-24,2033834.77,Incendie,industrie,0.69,82178.82,réglé,4,70,2323580.63,élevé
S01237,BH BANK,2020-04-07,77649.75,Autre,finance,0.85,1788.51,en cours,1,120,86818.25,moyen
S01238,HANNIBAL LEASE SA,2023-09-09,106763.29,Responsabilité civile,finance,0.85,2263.74,réglé,1,49,107114.91,moyen
S01239,SOCIETE DE FABRICATION DES BOISSONS DE TUNISIE,2019-08-27,141548.39,Dommage matériel,industrie,0.68,5380.68,en cours,4,101,144534.23,élevé
S01240,الجملة لأسواق التونسيـــّـــــة,2021-12-30,272872.44,Catastrophe naturelle,commerce,0.72,7259.11,réglé,4,49,309896.24,moyen
S01241,Les Industries Chimiques du Fluor,2019-07-26,41041.08,Autre,industrie,0.6,1941.83,en cours,6,156,41707.16,élevé
S01242,BNA Assurances,2020-09-08,36104.48,Responsabilité civile,finance,0.81,672.9,réglé,0,61,37225.4,faible
S01243,Société Nouvelle Maison de la Ville de Tunis « MONOPRIX »,2023-12-20,24517.73,Autre,commerce,0.76,608.84,réglé,3,77,28129.1,moyen
S01244,Euro Cycles,2024-07-04,211997.74,Catastrophe naturelle,industrie,0.68,7584.18,réglé,4,65,226517.33,élevé
S01245,BH ASSURANCE,2021-09-30,87981.47,Dégâts des eaux,finance,0.89,1637.25,réglé,1,44,89087.9,moyen
S01246,Unimed,2018-12-22,41045.24,Dégâts des eaux,sante,0.7,1190.69,réglé,0,48,44669.93,moyen
S01247,BANQUE NATIONALE AGRICOLE –BNA BANK-,2021-12-09,1347637.21,Incendie,finance,0.88,29693.08,rejeté,1,42,0.0,élevé
S01248,BNA Assurances,2024-08-14,219770.24,Dommage matériel,finance,0.86,3911.86,réglé,1,61,231927.61,moyen
S01249,SMART TUNISIE.SA,2020-05-10,136868.81,Responsabilité civile,technologie,0.74,4042.32,réglé,1,69,156624.47,moyen
S01250,NEW BODY LINE,2020-06-26,2133336.68,Incendie,commerce,0.76,72598.9,réglé,0,68,2226494.73,élevé
S01251,UNION INTERNATIONALE DE BANQUES - UIB,2022-10-18,39218.27,Responsabilité civile,finance,0.89,691.67,réglé,1,65,41175.56,faible
S01252,SOCIETE TUNISIENNE DE REASSURANCE- TUNIS RE,2019-10-29,222475.77,Catastrophe naturelle,finance,0.88,3743.17,réglé,0,63,243132.09,moyen
S01253,Société de Placement et de Développement Industriel et Touristique,2020-08-30,76485.7,Bris de machine,finance,0.85,1601.06,réglé,0,79,77908.23,moyen
S01254,الجملة لأسواق التونسيـــّـــــة,2024-03-06,149302.38,Catastrophe naturelle,commerce,0.75,3841.49,réglé,5,51,164474.47,moyen
S01255,OFFICE PLAST S.A,2020-04-26,27788.36,Autre,industrie,0.66,1272.29,réglé,4,65,30928.61,élevé
S01256,UNION BANCAIRE POUR LE COMMERCE ET L’INDUSTRIE -UBCI-,2020-07-10,61330.59,Autre,finance,0.8,1195.68,réglé,0,34,61727.25,moyen
S01257,BH ASSURANCE,2020-12-18,5382091.2,Interruption d'activité,finance,0.85,116437.53,réglé,1,40,5986612.93,élevé
S01258,Compagnie d’assurances et de réassurances ASTREE,2019-04-08,56428.43,Autre,finance,0.85,1082.62,réglé,3,57,63241.98,moyen
S01259,ATTIJARI LEASING,2020-04-25,229995.1,Responsabilité civile,finance,0.86,5173.64,réglé,1,63,244172.12,moyen
S01260,SOCIETE DE FABRICATION DES BOISSONS DE TUNISIE,2021-09-02,92476.7,Dommage matériel,industrie,0.66,3620.35,réglé,4,68,105096.24,élevé
S01261,SOCIETE TUNISIENNE DES INDUSTRIES DE PNEUMATIQUES,2023-08-13,73022.82,Responsabilité civile,industrie,0.65,2436.19,réglé,2,54,75368.61,élevé
S01262,SOCIETE TUNISIENNE DE BANQUE,2021-05-04,88978.77,Dégâts des eaux,finance,0.9,1713.61,réglé,2,57,100648.2,moyen
S01263,ASSURANCES MAGHREBIA VIE S.A,2020-02-11,16873.55,Vol,finance,0.85,287.29,réglé,2,67,17400.39,faible
S01264,SMART TUNISIE.SA,2020-03-09,167973.06,Dégâts des eaux,technologie,0.73,4473.52,réglé,2,49,184753.89,moyen
S01265,SOCIETE DE FABRICATION DES BOISSONS DE TUNISIE,2024-01-19,2833456.53,Interruption d'activité,industrie,0.64,129567.62,réglé,3,56,2857222.84,élevé
S01266,Société Tunisienne d’Entreprises de Télécommunications « SOTETEL »,2023-07-13,32775.56,Autre,technologie,0.8,991.14,réglé,3,25,36644.6,moyen
S01267,SOCIETE TUNISIENNE DE REASSURANCE- TUNIS RE,2018-12-25,316610.99,Catastrophe naturelle,finance,0.87,5630.75,réglé,3,77,362902.78,moyen
S01268,Les Industries Chimiques du Fluor,2018-02-16,38334.87,Autre,industrie,0.62,1710.34,rejeté,1,11,0.0,élevé
S01269,NEW BODY LINE,2020-06-15,28309.9,Autre,commerce,0.74,863.6,réglé,1,67,28535.32,moyen
S01270,الجملة لأسواق التونسيـــّـــــة,2023-05-01,609013.99,Catastrophe naturelle,commerce,0.73,18352.25,réglé,1,87,659457.64,moyen
S01271,SOCIETE D’ARTICLES HYGIENIQUES « SAH »,2018-03-18,19981.72,Autre,industrie,0.6,790.95,réglé,6,48,22036.34,élevé
S01272,SOCIETE TUNISIENNE DE BANQUE,2023-11-04,65556.95,Bris de machine,finance,0.87,1515.65,réglé,1,48,71135.94,moyen
S01273,ENNAKL AUTOMOBILES,2023-11-01,215248.46,Responsabilité civile,transport,0.64,9930.39,en cours,4,112,230317.58,élevé
S01274,Best Lease,2022-07-18,552467.76,Incendie,finance,0.8,9118.11,réglé,1,41,619767.18,moyen
S01275,Amen Bank,2022-05-11,2357944.98,Incendie,finance,0.9,46068.38,en cours,0,103,2420165.52,élevé
S01276,BH LEASING,2024-07-16,50226.57,Vol,finance,0.84,845.27,réglé,0,57,56596.69,moyen
S01277,SOCIETE TUNISIENNE DE REASSURANCE- TUNIS RE,2022-01-15,47161.36,Autre,finance,0.86,756.01,réglé,2,84,49885.28,faible
S01278,Société Tunisienne d’Entreprises de Télécommunications « SOTETEL »,2024-11-23,193826.37,Dommage matériel,technologie,0.78,5561.4,réglé,2,89,194130.81,moyen
S01279,ATTIJARI LEASING,2024-03-04,3636293.19,Interruption d'activité,finance,0.86,86182.23,réglé,1,63,3730512.07,élevé
S01280,DELICE HOLDING,2022-09-30,110188.76,Catastrophe naturelle,industrie,0.64,4047.11,réglé,2,52,116962.69,élevé
S01281,ESSOUKNA,2021-12-31,33346.57,Dommage matériel,construction,0.69,1252.61,en cours,4,120,36311.03,élevé
S01282,ATTIJARI LEASING,2019-07-15,98824.48,Catastrophe naturelle,finance,0.85,2078.95,réglé,0,71,113189.41,moyen
S01283,BANQUE INTERNATIONALE ARABE DE TUNISIE,2018-01-03,28149.23,Autre,finance,0.88,532.8,en cours,0,107,29190.65,faible
S01284,MANUFACTURE DE PANNEAUX BOIS DU SUD – MPBS,2022-10-01,508020.18,Catastrophe naturelle,industrie,0.66,22494.52,réglé,4,40,551140.97,élevé
S01285,BH ASSURANCE,2018-11-15,12599.08,Vol,finance,0.87,278.12,réglé,0,68,12669.9,faible
S01286,BH ASSURANCE,2023-08-07,25760.39,Autre,finance,0.89,559.8,rejeté,1,29,0.0,faible
S01287,LES CIMENTS DE BIZERTE,2020-10-23,77463.91,Dommage matériel,industrie,0.63,2994.04,réglé,1,62,89021.64,élevé
S01288,ENNAKL AUTOMOBILES,2021-07-14,29571.53,Autre,transport,0.62,1338.82,réglé,3,58,30441.19,élevé
S01289,Automobiles Réseau Tunisien et Services ARTES,2018-11-01,25346.25,Dégâts des eaux,commerce,0.79,887.97,rejeté,1,24,0.0,moyen
S01290,Société Tunisienne d’Entreprises de Télécommunications « SOTETEL »,2022-05-22,105169.69,Autre,technologie,0.73,2527.37,réglé,4,48,108986.86,moyen
S01291,PLACEMENTS DE TUNISIE SICAF,2018-12-25,30941.63,Autre,finance,0.85,698.61,réglé,3,67,32343.42,faible
S01292,HANNIBAL LEASE SA,2024-02-07,53785.82,Dommage matériel,finance,0.83,1013.61,réglé,0,55,59922.95,moyen
S01293,Société Tunisienne d’Entreprises de Télécommunications « SOTETEL »,2023-07-01,39914.59,Responsabilité civile,technologie,0.75,1015.87,réglé,5,49,41384.84,moyen
S01294,Attijari bank,2021-03-30,238609.57,Dommage matériel,finance,0.87,4376.31,réglé,1,73,263601.91,moyen
S01295,Automobiles Réseau Tunisien et Services ARTES,2018-03-16,8630.47,Vol,commerce,0.76,241.65,réglé,4,46,9140.05,moyen
S01296,BH ASSURANCE,2021-11-03,137545.84,Dégâts des eaux,finance,0.88,2786.1,réglé,3,69,151657.51,moyen
S01297,HANNIBAL LEASE SA,2022-08-21,1454203.52,Incendie,finance,0.89,31879.92,réglé,0,67,1459519.99,élevé
S01298,Société Tunisienne d’Entreprises de Télécommunications « SOTETEL »,2018-06-09,47574.4,Autre,technologie,0.75,1430.91,en cours,6,121,54492.12,moyen
S01299,Amen Bank,2023-03-18,5715947.04,Interruption d'activité,finance,0.83,100540.44,réglé,0,44,5746735.74,élevé
S01300,SOCIETE TUNISIENNE DE VERRERIES -SOTUVER,2018-12-27,138419.43,Dommage matériel,industrie,0.64,6431.83,réglé,2,52,138603.95,élevé
S01301,SMART TUNISIE.SA,2019-07-18,85861.0,Autre,technologie,0.76,2602.85,réglé,3,72,89617.91,moyen
S01302,Tunisie Profilés Aluminium -TPR-,2020-11-30,137759.5,Catastrophe naturelle,industrie,0.63,6474.59,en cours,7,139,139304.9,élevé
S01303,Euro Cycles,2022-01-01,61070.46,Dégâts des eaux,industrie,0.62,2408.72,réglé,5,71,62375.44,élevé
S01304,TUNINVEST SICAR,2018-03-31,1019930.24,Incendie,finance,0.85,17179.38,réglé,0,77,1149361.94,élevé
S01305,Unimed,2022-02-02,14055.69,Vol,sante,0.78,367.23,réglé,2,86,14501.51,moyen
S01306,Attijari bank,2018-05-16,16178.39,Vol,finance,0.83,353.4,réglé,0,48,17635.96,faible
S01307,Best Lease,2019-04-26,2687600.71,Incendie,finance,0.84,51031.99,réglé,0,42,2803144.09,élevé
S01308,ENNAKL AUTOMOBILES,2019-05-20,33133.33,Autre,transport,0.69,1068.92,réglé,0,51,36670.41,élevé
S01309,BANQUE NATIONALE AGRICOLE –BNA BANK-,2024-02-19,71610.81,Dommage matériel,finance,0.83,1151.38,réglé,1,60,80087.52,moyen
S01310,SMART TUNISIE.SA,2022-01-28,388023.89,Catastrophe naturelle,technologie,0.77,11718.9,réglé,3,43,427458.2,moyen
S01311,ASSURANCES MAGHREBIA VIE S.A,2024-09-12,202869.85,Dégâts des eaux,finance,0.88,4676.77,réglé,3,71,228583.86,moyen
S01312,ESSOUKNA,2021-07-27,4444472.34,Incendie,construction,0.63,203518.5,réglé,3,67,4702667.0,élevé
S01313,Les Industries Chimiques du Fluor,2022-04-07,1663060.27,Incendie,industrie,0.64,77156.95,réglé,3,71,1825016.19,élevé
S01314,TUNISIE LEASING & FACTORING,2020-02-15,12631.86,Autre,finance,0.88,270.97,réglé,2,38,13160.97,faible
S01315,Société Tunisienne d’Entreprises de Télécommunications « SOTETEL »,2020-05-08,8448.53,Vol,technologie,0.78,225.08,réglé,1,41,8979.1,moyen
S01316,SOCIETE TUNISIENNE DE BANQUE,2021-02-19,13258.6,Vol,finance,0.81,312.6,réglé,4,42,14191.51,faible
S01317,Société de Transport des Hydrocarbures par Pipelines - SOTRAPIL,2020-05-23,1405747.33,Incendie,energie,0.7,55157.48,réglé,0,53,1588360.05,élevé
S01318,SOCIETE TUNISIENNE DE REASSURANCE- TUNIS RE,2024-10-03,71214.58,Dommage matériel,finance,0.82,1460.2,réglé,1,64,73393.42,moyen
S01319,SOCIETE D’ARTICLES HYGIENIQUES « SAH »,2024-01-16,3338495.29,Incendie,industrie,0.7,109228.82,réglé,4,57,3833175.0,élevé
S01320,ASSURANCES MAGHREBIA VIE S.A,2018-07-06,45181.64,Dégâts des eaux,finance,0.86,770.32,rejeté,0,33,0.0,faible
S01321,TUNINVEST SICAR,2019-06-29,20149.45,Autre,finance,0.84,374.7,en cours,2,100,20262.87,faible
S01322,ASSURANCES MAGHREBIA S.A,2019-04-18,66910.05,Dégâts des eaux,finance,0.87,1288.43,rejeté,1,16,0.0,moyen
S01323,SOCIETE TUNISIENNE DE VERRERIES -SOTUVER,2024-04-12,118399.3,Dommage matériel,industrie,0.61,4268.49,en cours,8,154,132449.09,élevé
S01324,SOCIETE DE FABRICATION DES BOISSONS DE TUNISIE,2024-02-18,573453.06,Incendie,industrie,0.63,26250.04,réglé,6,58,597804.1,élevé
S01325,Société Industrielle d’Appareillage et de Matériels Electriques « SIAME »,2018-01-27,52255.58,Dommage matériel,industrie,0.61,2079.41,réglé,3,56,55807.53,élevé
S01326,SOCIETE TUNISIENNE DE L’AIR - TUNISAIR,2018-11-23,39534.81,Autre,transport,0.67,1304.72,réglé,2,74,42586.85,élevé
S01327,Attijari bank,2019-12-06,64197.08,Autre,finance,0.89,1184.62,réglé,4,79,73289.89,moyen
S01328,Carthage Cement,2022-01-15,58571.51,Dommage matériel,industrie,0.61,2797.18,réglé,3,73,58664.83,élevé
S01329,"Société Tunisienne d'Assurances et de Réassurances    ""STAR""",2021-07-02,100609.89,Dégâts des eaux,finance,0.81,1918.71,réglé,1,55,106731.18,moyen
S01330,Société Tunisienne d’Entreprises de Télécommunications « SOTETEL »,2022-12-15,202758.76,Autre,technologie,0.77,5262.94,réglé,2,49,204301.25,moyen
S01331,"Société Tunisienne d'Assurances et de Réassurances    ""STAR""",2019-07-31,49509.68,Dégâts des eaux,finance,0.86,998.35,réglé,2,27,56322.62,faible
S01332,UNION INTERNATIONALE DE BANQUES - UIB,2024-08-26,483483.05,Incendie,finance,0.83,9956.23,réglé,0,76,527819.15,moyen
S01333,BNA Assurances,2019-01-05,38587.22,Dommage matériel,finance,0.81,660.04,rejeté,0,56,0.0,faible
S01334,SOCIETE TUNISIENNE DE L’AIR - TUNISAIR,2024-09-17,92592.0,Dommage matériel,transport,0.7,3279.68,réglé,2,71,93141.99,élevé
S01335,ASSURANCES MAGHREBIA VIE S.A,2019-11-11,1388673.63,Incendie,finance,0.82,22367.33,réglé,0,79,1553841.49,élevé
S01336,L’Accumulateur Tunisien ASSAD,2018-02-09,36281.21,Autre,industrie,0.64,1385.12,en cours,5,112,39539.9,élevé
S01337,Société Nouvelle Maison de la Ville de Tunis « MONOPRIX »,2022-09-29,62551.37,Catastrophe naturelle,commerce,0.76,1771.2,réglé,2,53,67505.82,moyen
S01338,CELLCOM,2019-09-11,800664.21,Incendie,technologie,0.72,25884.74,réglé,0,47,857274.82,moyen
S01339,BANQUE NATIONALE AGRICOLE –BNA BANK-,2019-01-26,22419.76,Vol,finance,0.82,534.87,réglé,0,67,22516.29,faible
S01340,Carthage Cement,2019-11-12,1444896.24,Incendie,industrie,0.7,52244.52,réglé,2,44,1649246.9,élevé
S01341,Attijari bank,2022-03-12,35910.07,Autre,finance,0.86,751.69,en cours,0,127,39981.41,faible
S01342,Société Industrielle d’Appareillage et de Matériels Electriques « SIAME »,2022-05-22,23871.98,Vol,industrie,0.65,1019.14,rejeté,5,35,0.0,élevé
S01343,BH ASSURANCE,2023-02-27,40247.93,Responsabilité civile,finance,0.87,770.0,réglé,1,37,44097.54,faible
S01344,Tunisie Profilés Aluminium -TPR-,2021-06-16,4543833.73,Incendie,industrie,0.69,217783.88,rejeté,2,38,0.0,élevé
S01345,SOCIETE TUNISIENNE DE BANQUE,2021-09-24,58835.92,Responsabilité civile,finance,0.88,1036.11,en cours,2,93,59161.16,moyen
S01346,Société Tunisienne d’Entreprises de Télécommunications « SOTETEL »,2023-11-05,72095.69,Dégâts des eaux,technologie,0.74,2125.44,réglé,3,52,72505.31,moyen
S01347,الجملة لأسواق التونسيـــّـــــة,2018-02-02,71520.21,Dommage matériel,commerce,0.71,2334.06,réglé,5,73,80748.08,moyen
S01348,SOCIETE DE FABRICATION DES BOISSONS DE TUNISIE,2019-12-27,2852879.34,Incendie,industrie,0.7,119906.06,réglé,3,63,3137548.42,élevé
S01349,ALKIMIA,2021-06-05,31482.31,Vol,energie,0.61,1330.45,réglé,4,38,35684.93,élevé
S01350,Les Industries Chimiques du Fluor,2018-01-15,82577.25,Autre,industrie,0.69,2741.49,réglé,3,55,89324.44,élevé
S01351,Unimed,2024-02-24,1718104.76,Incendie,sante,0.76,56255.9,en cours,2,148,1941276.13,élevé
S01352,Société de Placement et de Développement Industriel et Touristique,2020-11-12,1095647.92,Incendie,finance,0.88,24679.9,réglé,0,46,1195865.17,élevé
S01353,Unimed,2018-12-23,138563.66,Dommage matériel,sante,0.77,3679.8,réglé,0,54,143332.41,moyen
S01354,SOCIETE TUNISIENNE DE L’AIR - TUNISAIR,2018-02-28,20390.07,Autre,transport,0.66,819.71,réglé,4,56,21596.37,élevé
S01355,Société Industrielle d’Appareillage et de Matériels Electriques « SIAME »,2024-08-03,1494781.91,Catastrophe naturelle,industrie,0.65,52729.08,réglé,1,66,1532520.83,élevé
S01356,Unimed,2023-09-08,147246.07,Catastrophe naturelle,sante,0.71,5146.66,réglé,3,16,165454.74,moyen
S01357,BH LEASING,2020-07-25,2529123.78,Incendie,finance,0.89,48499.53,rejeté,0,18,0.0,élevé
S01358,ASSURANCES MAGHREBIA VIE S.A,2024-07-03,158935.33,Dommage matériel,finance,0.81,2938.02,réglé,0,69,181311.95,moyen
S01359,الجملة لأسواق التونسيـــّـــــة,2019-08-17,27999.52,Autre,commerce,0.79,921.49,réglé,0,23,28443.83,moyen
S01360,CELLCOM,2022-11-14,105360.56,Autre,technologie,0.74,3267.61,réglé,2,66,114283.37,moyen
S01361,Automobiles Réseau Tunisien et Services ARTES,2022-01-11,189068.38,Responsabilité civile,commerce,0.77,6746.64,réglé,5,89,198541.43,moyen
S01362,WIFAK INTERNATIONAL BANK,2020-02-01,104586.11,Responsabilité civile,finance,0.9,2301.65,réglé,2,58,105607.76,moyen
S01363,L’Accumulateur Tunisien ASSAD,2022-12-22,2107562.95,Interruption d'activité,industrie,0.7,99537.38,en cours,3,136,2254623.42,élevé
S01364,Unimed,2021-08-19,30872.23,Dommage matériel,sante,0.72,1031.23,réglé,4,44,34125.0,moyen
S01365,HANNIBAL LEASE SA,2020-11-28,807300.82,Incendie,finance,0.84,14117.64,réglé,0,75,894834.4,moyen
S01366,TUNISIE LEASING & FACTORING,2020-09-14,31496.24,Autre,finance,0.9,736.34,réglé,0,40,35605.88,faible
S01367,ATTIJARI LEASING,2021-11-28,2082926.74,Interruption d'activité,finance,0.87,36773.77,réglé,0,66,2139393.74,élevé
S01368,Best Lease,2021-02-20,165797.04,Dommage matériel,finance,0.89,3164.86,réglé,1,56,180510.56,moyen
S01369,UNION BANCAIRE POUR LE COMMERCE ET L’INDUSTRIE -UBCI-,2021-04-26,170526.65,Catastrophe naturelle,finance,0.88,4033.32,réglé,0,60,185560.39,moyen
S01370,Société Nouvelle Maison de la Ville de Tunis « MONOPRIX »,2021-03-02,90594.68,Dégâts des eaux,commerce,0.73,3143.69,réglé,0,42,103184.8,moyen
S01371,TUNINVEST SICAR,2018-02-26,21882.59,Vol,finance,0.85,418.58,en cours,0,216,23014.64,faible
S01372,Société Industrielle d’Appareillage et de Matériels Electriques « SIAME »,2024-07-11,16980.98,Vol,industrie,0.66,705.62,en cours,0,132,18540.98,élevé
S01373,BH LEASING,2022-06-21,568805.71,Incendie,finance,0.89,11430.81,réglé,1,56,616818.12,moyen
S01374,Société Tunisienne Industrielle du Papier et du Carton (SOTIPAPIER),2022-02-06,154164.91,Dommage matériel,industrie,0.6,6866.58,rejeté,4,28,0.0,élevé
S01375,CITY CARS,2020-07-08,1907656.56,Interruption d'activité,transport,0.61,89381.81,réglé,4,65,2156949.06,élevé
S01376,DELICE HOLDING,2023-02-11,101754.05,Dégâts des eaux,industrie,0.68,3797.76,en cours,4,104,103838.21,élevé
S01377,Tunisie Profilés Aluminium -TPR-,2022-06-13,1612492.38,Incendie,industrie,0.62,57954.26,réglé,3,54,1728946.99,élevé
S01378,Compagnie d’assurances et de réassurances ASTREE,2023-04-23,204583.23,Dommage matériel,finance,0.81,4162.02,réglé,0,72,229665.29,moyen
S01379,COMPAGNIE INTERNATIONALE DE LEASING - CIL-,2019-08-31,123009.5,Dégâts des eaux,finance,0.89,2474.35,réglé,0,73,126589.09,moyen
S01380,SOCIETE TUNISIENNE DES INDUSTRIES DE PNEUMATIQUES,2019-06-19,102613.6,Responsabilité civile,industrie,0.65,3402.19,réglé,1,67,104256.16,élevé
S01381,Les Industries Chimiques du Fluor,2020-07-16,126292.82,Dommage matériel,industrie,0.64,4817.06,réglé,1,71,132399.42,élevé
S01382,Tunisie Profilés Aluminium -TPR-,2018-01-27,54149.97,Dégâts des eaux,industrie,0.63,1919.74,réglé,1,78,54774.53,élevé
S01383,Les Industries Chimiques du Fluor,2018-10-05,102347.83,Responsabilité civile,industrie,0.69,4682.06,réglé,3,60,106146.82,élevé
S01384,Société de Transport des Hydrocarbures par Pipelines - SOTRAPIL,2023-08-19,139693.21,Dégâts des eaux,energie,0.61,4887.8,réglé,6,81,143057.81,élevé
S01385,ENNAKL AUTOMOBILES,2020-02-06,308805.29,Catastrophe naturelle,transport,0.66,11243.83,réglé,4,57,314309.34,élevé
S01386,Unimed,2018-06-15,1546282.99,Incendie,sante,0.77,39395.09,en cours,2,105,1575640.75,élevé
